Product Name,Sales,Quantity,Profit,Margen (%),Tipo
Acco Four Pocket Poly Ring Binder with Label Holder  Smoke  1 ,122.18,28,7.450000000000001,6.097560975609757,Otros
Acco Glide Clips,19.6,5,9.6,48.979591836734684,Oculto
Acco Hanging Data Binders,41.92,17,8.22,19.608778625954198,Otros
Acco Hot Clips Clips to Go,67.12,23,25.49,37.97675804529201,Oculto
Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  14 7 8  X 11 ,175.38,37,73.86,42.11426616489908,Otros
Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  9 1 2  X 11 ,62.95,23,-0.16000000000000014,-0.25416997617156495,Otros
Acco PRESSTEX Data Binder with Storage Hooks  Light Blue  9 1 2  X 11 ,67.25,17,19.689999999999998,29.278810408921927,Otros
Acco Perma 2700 Stacking Storage Drawers,208.18,8,5.949999999999999,2.858103564223268,Otros
Acco Perma 3000 Stacking Storage Drawers,373.44,21,16.57,4.437125107112254,Otros
Acco Perma 4000 Stacking Storage Drawers,457.96999999999997,31,30.04,6.559381618883334,Otros
Acco Pressboard Covers with Storage Hooks  14 7 8  x 11   Dark Blue,59.83,24,13.18,22.029082400133714,Otros
Acco Pressboard Covers with Storage Hooks  14 7 8  x 11   Executive Red,63.64,37,-13.899999999999999,-21.841609050911373,Otros
Acco Pressboard Covers with Storage Hooks  14 7 8  x 11   Light Blue,131.1,45,18.44,14.065598779557591,Otros
Acco Pressboard Covers with Storage Hooks  9 1 2  x 11   Executive Red,91.44,28,34.9,38.167104111986,Oculto
Acco Recycled 2  Capacity Laser Printer Hanging Data Binders,85.26,10,8.669999999999998,10.1688951442646,Otros
Acco Side Punched Conventional Columnar Pads,41.64,15,-7.800000000000001,-18.73198847262248,Otros
Acco Six Outlet Power Strip  4  Cord Length,343.08,41,81.54,23.76705141657923,Otros
Acco Smartsocket Color Coded Six Outlet AC Adapter Model Surge Protectors,448.90999999999997,14,-7.049999999999997,-1.5704706956851036,Otros
Acco Smartsocket Table Surge Protector  6 Color Coded Adapter Outlets,452.97,8,105.49,23.28851800339978,Otros
Acco Suede Grain Vinyl Round Ring Binder,38.64,29,-4.88,-12.629399585921325,Otros
Acco Translucent Poly Ring Binders,91.72,31,16.28,17.74967291757523,Otros
Accohide Poly Flexible Ring Binders,43.75,34,-19.830000000000002,-45.32571428571429,Otros
Acme 10  Easy Grip Assistive Scissors,448.77,26,129.74,28.9101321389576,Otros
Acme Box Cutter Scissors,306.9,31,72.23,23.535353535353536,Otros
Acme Design Line 8  Stainless Steel Bent Scissors w Champagne Handles  3 1 8  Cut,45.14,7,10.2,22.59636685866194,Otros
Acme Design Stainless Steel Bent Scissors,88.92,13,24.0,26.99055330634278,Otros
Acme Elite Stainless Steel Scissors,95.07,12,21.02,22.110024192700116,Otros
Acme Forged Steel Scissors with Black Enamel Handles,279.3,32,67.78,24.26781238811314,Otros
Acme Galleria Hot Forged Steel Scissors with Colored Handles,195.05,13,49.87,25.567803127403227,Otros
Acme Hot Forged Carbon Steel Scissors with Nickel Plated Handles  3 7 8  Cut  8 L,458.7,36,103.43,22.548506649226074,Otros
Acme Kleen Earth Office Shears,44.23,12,11.18,25.276961338458058,Otros
Acme Kleencut Forged Steel Scissors,35.58,7,7.47,20.994940978077572,Otros
Acme Office Executive Series Stainless Steel Trimmers,159.4,21,26.22,16.449184441656207,Otros
Acme Preferred Stainless Steel Scissors,90.88,16,26.36,29.005281690140844,Otros
Acme Rosewood Handle Letter Opener,43.67,12,-3.49,-7.991756354476758,Otros
Acme Serrated Blade Letter Opener,13.99,5,-1.75,-12.508934953538242,Otros
Acme Softgrip Scissors,166.05,23,33.13,19.951821740439627,Otros
Acme Stainless Steel Office Snips,81.42,13,12.43,15.266519282731513,Otros
Acme Tagit Stainless Steel Antibacterial Scissors,196.01999999999998,22,37.03,18.890929496990104,Otros
Acme Titanium Bonded Scissors,102.0,13,20.23,19.833333333333332,Otros
Acme Value Line Scissors,76.65,22,20.46,26.69275929549902,Otros
Acrylic Self Standing Desk Frames,93.98,37,32.73,34.82655884230687,Otros
Adams  While You Were Out  Message Pads,72.85,24,31.410000000000004,43.11599176389843,Oculto
Adams Phone Message Book  200 Message Capacity  8 1 16  x 11 ,227.04,33,104.43,45.9963002114165,Otros
Adams Phone Message Book  Professional  400 Message Capacity  5 3 6  x 11 ,94.93,14,43.14,45.44401137680396,Oculto
Adams Telephone Message Book W Dividers Space For Phone Numbers  5 1 4 X8 1 2   200 Messages,172.67,32,72.7,42.10343429663521,Otros
Adams Telephone Message Book W Dividers Space For Phone Numbers  5 1 4 X8 1 2   300 Messages,132.89,24,60.9,45.827376025284075,Otros
Adams Telephone Message Book w Frequently Called Numbers Space  400 Messages per Book,223.44,28,111.72,50.0,Otros
Adams Telephone Message Books  5 1 4  x 11 ,80.93,15,32.91,40.664772025206965,Oculto
Adams Write n  Stick Phone Message Book  11  X 5 1 4   200 Messages,40.9,8,16.37,40.02444987775062,Oculto
Adjustable Depth Letter Legal Cart,7730.19,45,1932.54,24.999902977805203,Otros
Adjustable Personal File Tote,270.25,18,53.4,19.759481961147085,Otros
Adtran 1202752G1,1990.65,18,312.46,15.696380579207794,Otros
Advantus 10 Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,1051.78,18,277.28,26.36292760843522,Otros
Advantus Employee of the Month Certificate Frame  11 x 13 1 2,822.74,28,311.78000000000003,37.89532537618203,Otros
Advantus Map Pennant Flags and Round Head Tacks,87.69,25,20.549999999999997,23.434827232295586,Otros
Advantus Motivational Note Cards,227.94,20,94.33,41.38369746424498,Otros
Advantus Panel Wall Acrylic Frame,87.52,20,25.150000000000002,28.736288848263257,Otros
Advantus Panel Wall Certificate Holder   8 5x11,270.84,23,108.1,39.91286368335549,Otros
Advantus Plastic Paper Clips,225.0,47,102.80000000000001,45.6888888888889,Otros
Advantus Push Pins,54.94,27,20.22,36.803785948307244,Otros
Advantus Push Pins  Aluminum Head,139.44,24,43.230000000000004,31.002581755593805,Otros
Advantus Rolling Drawer Organizers,1115.92,31,233.18,20.89576313714245,Otros
Advantus Rolling Storage Box,428.75,27,90.71,21.15685131195335,Otros
Advantus SlideClip Paper Clips,46.38,15,19.77,42.6261319534282,Oculto
Advantus T Pin Paper Clips,64.04,16,20.02,31.261711430356026,Otros
Airmail Envelopes,1359.67,19,514.48,37.83859318805298,Estrella
Akro Mils 12 Gallon Tote,113.19999999999999,13,21.55,19.037102473498237,Otros
Akro Stacking Bins,91.52,13,-6.930000000000001,-7.572115384615385,Otros
Alliance Big Bands Rubber Bands  12 Pack,29.7,15,0.0,0.0,Otros
Alliance Rubber Bands,13.440000000000001,8,0.54,4.017857142857142,Otros
Alliance Super Size Bands  Assorted Sizes,197.60999999999999,27,-10.36,-5.242649663478569,Otros
Alphabetical Labels for Top Tab Filing,518.0,37,244.2,47.14285714285714,Otros
Aluminum Document Frame,244.39999999999998,22,56.22,23.00327332242226,Otros
Aluminum Screw Posts,354.02,41,41.19,11.634935879328852,Otros
AmazonBasics 3 Button USB Wired Mouse,88.08,14,32.29,36.65985467756585,Otros
American Pencil,48.93,21,14.19,29.000613120784795,Otros
Ames Color File Green Diamond Border X ray Mailers,1360.48,18,559.3,41.110490415147595,Estrella
Ampad  10 Peel   Seel Holiday Envelopes,53.760000000000005,12,25.8,47.99107142857142,Oculto
Ampad Evidence Wirebond Steno Books  6  x 9 ,27.470000000000002,14,11.29,41.09938114306516,Oculto
Ampad Gold Fibre Wirebound Steno Books  6  x 9   Gregg Ruled,106.72,25,47.19,44.218515742128936,Otros
Ampad Phone Message Book  Recycled  400 Message Capacity  5    x 11 ,124.8,20,56.17,45.008012820512825,Otros
Ampad Poly Cover Wirebound Steno Book  6  x 9  Assorted Colors  Gregg Ruled,38.14,9,15.67,41.08547456738332,Oculto
Anderson Hickey Conga Table Tops   Accessories,51.78,5,-17.51,-33.81614522981847,Otros
Angle D Binders with Locking Rings  Label Holders,197.82999999999998,42,35.33,17.858767628772178,Otros
Angle D Ring Binders,39.38,14,-1.970000000000001,-5.002539360081261,Otros
Anker 24W Portable Micro USB Car Charger,61.55,8,14.07,22.859463850528027,Otros
Anker 36W 4 Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,339.84,22,23.2,6.8267419962335225,Otros
Anker Astro 15000mAh USB Portable Charger,599.88,13,-23.99,-3.9991331599653264,Otros
Anker Astro Mini 3000mAh Ultra Compact Portable Charger,147.92000000000002,9,-31.990000000000002,-21.626554894537588,Otros
Anker Ultra Slim Mini Bluetooth 3 0 Wireless Keyboard,499.75,26,99.55000000000001,19.919959979989997,Otros
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,491.84,17,32.989999999999995,6.707465842550422,Otros
Apple EarPods with Remote and Mic,251.91,10,50.38,19.99920606565837,Otros
Apple iPhone 5,12996.6,24,1611.58,12.400012310912084,Otros
Apple iPhone 5C,1339.87,15,229.98,17.164351765469785,Otros
Apple iPhone 5S,4901.91,11,512.99,10.465104418481776,Otros
Array Memo Cubes,54.91,11,25.84,47.05882352941177,Oculto
Array Parchment Paper  Assorted Colors,106.28999999999999,15,49.51,46.580111017028884,Otros
Artistic Insta Plaque,156.8,10,61.160000000000004,39.005102040816325,Otros
Assorted Color Push Pins,34.4,21,8.92,25.930232558139537,Otros
Astroparche Fine Business Paper,144.67000000000002,29,65.05,44.964401741895344,Otros
Ativa D5772 2 Line 5 8GHz Digital Expandable Corded Cordless Phone System with Answering   Caller ID Call Waiting  Black Silver,1979.88,12,593.97,30.00030304866962,Otros
Ativa MDM8000 8 Sheet Micro Cut Shredder,917.9,11,393.26,42.84344699858372,Otros
Ativa V4110MDD Micro Cut Shredder,7699.89,11,3772.95,49.000050650074215,Estrella
Atlantic Metals Mobile 2 Shelf Bookcases  Custom Colors,400.02000000000004,3,-113.25999999999999,-28.313584320783956,Otros
Atlantic Metals Mobile 3 Shelf Bookcases  Custom Colors,7539.71,35,780.3199999999999,10.349469674563078,Otros
Atlantic Metals Mobile 4 Shelf Bookcases  Custom Colors,5184.1,27,-126.43,-2.438803263825929,Trampa
Atlantic Metals Mobile 5 Shelf Bookcases  Custom Colors,5492.89,26,15.050000000000011,0.27399055870407035,Trampa
Avanti 1 7 Cu  Ft  Refrigerator,2221.56,24,476.63,21.454743513567042,Otros
Avanti 4 4 Cu  Ft  Refrigerator,3511.01,24,383.67,10.927624814512063,Otros
Avaya 4621SW VoIP phone,709.92,12,79.88,11.251972053189093,Otros
Avaya 5410 Digital phone,625.5,13,-10.880000000000003,-1.7394084732214234,Otros
Avaya 5420 Digital phone,1538.8899999999999,12,323.98,21.052836784955392,Otros
Avaya IP Phone 1140E VoIP phone,1394.95,5,362.69,26.00021506147174,Otros
Avery 05222 Permanent Self Adhesive File Folder Labels for Typewriters  on Rolls  White  250 Roll,20.65,5,9.5,46.00484261501211,Oculto
Avery 3 1 2  Diskette Storage Pages  10 Pack,137.81,27,-14.42,-10.463681880850446,Otros
Avery 4027 File Folder Labels for Dot Matrix Printers  5000 Labels per Box  White,1233.41,43,524.52,42.52600514022101,Estrella
Avery 473,248.4,24,119.25,48.007246376811594,Otros
Avery 474,78.34,30,34.269999999999996,43.74521317334694,Oculto
Avery 475,266.4,18,133.2,50.0,Otros
Avery 476,137.11,37,54.6,39.82204069725038,Otros
Avery 477,573.96,20,244.24,42.55348804794759,Otros
Avery 478,88.38,18,43.31,49.00429961529758,Oculto
Avery 479,16.7,7,6.84,40.958083832335326,Oculto
Avery 48,90.72,15,39.67999999999999,43.7389770723104,Oculto
Avery 480,89.25,24,42.45,47.563025210084035,Oculto
Avery 481,91.17,30,43.12,47.2962597345618,Oculto
Avery 482,11.56,4,5.430000000000001,46.97231833910035,Oculto
Avery 483,83.67,19,32.56,38.91478427154297,Oculto
Avery 484,9.22,4,3.34,36.22559652928416,Otros
Avery 485,639.03,51,300.33,46.99779353082015,Otros
Avery 486,168.13,24,75.16,44.70350324153928,Otros
Avery 487,84.87,25,35.97,42.3824673029339,Oculto
Avery 488,51.03,17,23.17,45.40466392318244,Oculto
Avery 489,159.39000000000001,16,73.27,45.96900683857205,Otros
Avery 49,66.82,24,31.560000000000002,47.23136785393596,Oculto
Avery 490,177.6,13,81.4,45.833333333333336,Otros
Avery 491,45.43000000000001,12,18.67,41.096191943649565,Oculto
Avery 492,53.57,20,22.46,41.92645137203659,Oculto
Avery 493,55.97,13,23.43,41.86171163123102,Oculto
Avery 494,56.37,23,23.96,42.50487848146177,Oculto
Avery 495,97.02,16,42.58,43.88785817357246,Oculto
Avery 496,50.25,14,22.950000000000003,45.671641791044784,Oculto
Avery 497,24.02,8,11.209999999999999,46.669442131557034,Oculto
Avery 498,35.260000000000005,13,15.35,43.53374929098128,Oculto
Avery 499,176.29,40,68.71,38.97555164785297,Otros
Avery 5,5.76,2,2.82,48.95833333333333,Oculto
Avery 50,235.56,20,102.75,43.61946001018849,Otros
Avery 500,58.48,8,27.48,46.99042407660739,Oculto
Avery 501,66.41,22,23.400000000000002,35.23565728053005,Otros
Avery 502,17.64,7,6.17,34.97732426303855,Otros
Avery 503,155.25,15,74.51,47.993558776167475,Otros
Avery 505,372.96000000000004,28,165.76,44.444444444444436,Otros
Avery 506,66.08,17,28.17,42.630145278450364,Oculto
Avery 507,24.189999999999998,10,8.64,35.71723852831749,Otros
Avery 508,87.39,19,39.81999999999999,45.5658542167296,Oculto
Avery 509,32.36,13,14.04,43.38689740420272,Oculto
Avery 51,95.75999999999999,16,41.31,43.13909774436091,Oculto
Avery 510,21.75,7,8.1,37.241379310344826,Otros
Avery 511,56.68,20,24.64,43.47212420606916,Oculto
Avery 512,84.39,32,35.36,41.9006991349686,Oculto
Avery 513,93.63,22,34.46,36.80444302039945,Otros
Avery 514,47.81,17,22.849999999999998,47.79334867182597,Oculto
Avery 515,62.650000000000006,5,29.450000000000003,47.007182761372704,Oculto
Avery 516,109.64999999999999,15,51.54,47.00410396716826,Otros
Avery 517,44.28,13,18.85,42.570009033423666,Oculto
Avery 518,106.47,35,49.14,46.15384615384615,Otros
Avery 519,121.35,18,51.61,42.52987227029254,Otros
Avery 52,68.63,19,31.47,45.85458254407694,Oculto
Avery 520,46.620000000000005,15,22.04,47.27584727584727,Oculto
Avery Address Shipping Labels for Typewriters  4  x 2 ,277.38,28,126.69,45.67380488860048,Otros
Avery Arch Ring Binders,1318.87,40,87.14999999999999,6.607929515418502,Trampa
Avery Binder Labels,26.07,8,9.879999999999999,37.89796701189106,Oculto
Avery Binding System Hidden Tab Executive Style Index Sets,91.74,26,16.729999999999997,18.236320034881185,Otros
Avery Durable Binders,87.26,50,13.83,15.849186339674533,Otros
Avery Durable Plastic 1  Binders,116.22,34,37.5,32.266391326794015,Otros
Avery Durable Poly Binders,82.95,33,-15.590000000000002,-18.794454490657024,Otros
Avery Durable Slant Ring Binders,51.480000000000004,19,-23.759999999999998,-46.153846153846146,Otros
Avery Durable Slant Ring Binders  No Labels,89.55,36,13.600000000000001,15.187046342825239,Otros
Avery Durable Slant Ring Binders With Label Holder,90.71,36,12.44,13.714033733877192,Otros
Avery File Folder Labels,113.48,44,48.839999999999996,43.03842086711314,Otros
Avery Flip Chart Easel Binder  Black,239.45999999999998,17,37.82,15.79386953979788,Otros
Avery Fluorescent Highlighter Four Color Set,65.47,24,9.34,14.266076065373454,Otros
Avery Framed View Binder  EZD Ring  Locking   Navy  1 1 2 ,99.81,19,-0.6999999999999957,-0.7013325318104355,Otros
Avery Hanging File Binders,105.84,26,21.87,20.66326530612245,Otros
Avery Heavy Duty EZD  Binder With Locking Rings,110.49,28,29.240000000000002,26.463933387636896,Otros
Avery Heavy Duty EZD View Binder with Locking Rings,170.99,41,29.720000000000002,17.38113339961401,Otros
Avery Hi Liter Comfort Grip Fluorescent Highlighter  Yellow Ink,7.8,4,3.04,38.97435897435898,Oculto
Avery Hi Liter EverBold Pen Style Fluorescent Highlighters  4 Pack,219.78,31,68.36999999999999,31.108381108381106,Otros
Avery Hi Liter Fluorescent Desk Style Markers,20.279999999999998,6,7.5,36.982248520710066,Otros
Avery Hi Liter GlideStik Fluorescent Highlighter  Yellow Ink,26.08,9,9.65,37.0015337423313,Otros
Avery Hi Liter Pen Style Six Color Fluorescent Set,7.7,2,3.16,41.03896103896104,Oculto
Avery Hi Liter Smear Safe Highlighters,123.81,24,34.11,27.550278652774413,Otros
Avery Hidden Tab Dividers for Binding Systems,31.590000000000003,24,-7.04,-22.285533396644507,Otros
Avery Hole Reinforcements,116.52000000000001,32,14.840000000000002,12.736010985238586,Otros
Avery Legal 4 Ring Binder,258.05,16,90.21,34.95834140670412,Otros
Avery Metallic Poly Binders,135.81,31,43.43,31.97849937412562,Otros
Avery Non Stick Binders,217.31,71,43.559999999999995,20.045096866227965,Otros
Avery Non Stick Heavy Duty View Round Locking Ring Binders,68.17,12,30.849999999999998,45.25451078186885,Oculto
Avery Personal Creations Heavyweight Cards,103.86,11,37.85,36.443289042942425,Otros
Avery Poly Binder Pockets,78.04,34,14.77,18.926191696565862,Otros
Avery Premier Heavy Duty Binder with Round Locking Rings,191.35000000000002,21,29.41,15.369741311732426,Otros
Avery Printable Repositionable Plastic Tabs,115.24000000000001,16,42.3,36.70600485942381,Otros
Avery Recycled Flexi View Covers for Binding Systems,197.17000000000002,32,-69.57,-35.28427245524166,Otros
Avery Reinforcements for Hole Punch Pages,28.52,41,-16.15,-56.62692847124824,Otros
Avery Round Ring Poly Binders,36.92,17,12.29,33.28819068255688,Otros
Avery Self Adhesive Photo Pockets for Polaroid Photos,143.01,41,-2.1900000000000013,-1.5313614432557174,Otros
Avery Trapezoid Extra Heavy Duty 4  Binders,314.54,15,-0.010000000000005116,-0.003179245882878208,Otros
Avery Trapezoid Ring Binder  3  Capacity  Black  1040 sheets,545.03,22,85.22999999999999,15.637671320844722,Otros
Avery Triangle Shaped Sheet Lifters  Black  2 Pack,25.82,25,-4.929999999999999,-19.093725793958168,Otros
Avery White Multi Purpose Labels,95.62,20,41.83,43.746078226312484,Oculto
Avoid Verbal Orders Carbonless Minifold Book,68.28,21,29.94,43.84885764499121,Oculto
BIC Brite Liner Grip Highlighters,24.27,17,8.94,36.83559950556242,Otros
BIC Brite Liner Grip Highlighters  Assorted  5 Pack,118.72,29,43.72,36.82614555256065,Otros
BIC Brite Liner Highlighters,86.12,23,30.89,35.86855550394798,Otros
BIC Brite Liner Highlighters  Chisel Tip,123.12,21,30.59,24.845679012345677,Otros
BIC Liqua Brite Liner,173.5,27,53.57,30.87608069164265,Otros
BOSTON Model 1800 Electric Pencil Sharpeners  Putty Woodgrain,496.24,30,113.28,22.827664033532162,Otros
BOSTON Ranger  55 Pencil Sharpener  Black,618.56,27,120.34,19.45486290739783,Otros
BPI Conference Tables,2241.87,26,-795.98,-35.50518094269516,Trampa
Bady BDG101FRU Card Printer,9279.89,14,1327.99,14.310406696631103,Otros
Bagged Rubber Bands,25.7,21,0.30000000000000004,1.1673151750972766,Otros
Balt Solid Wood Rectangular Table,828.1,11,-216.25,-26.113995894215673,Otros
Balt Solid Wood Round Tables,6518.76,19,-1201.06,-18.424669722462554,Trampa
Balt Split Level Computer Training Table,1040.63,12,-357.97999999999996,-34.40031519368074,Otros
Barrel Sharpener,67.83000000000001,19,17.619999999999997,25.9767064720625,Otros
Barricks 18  x 48  Non Folding Utility Table with Bottom Storage Shelf,1088.64,16,-104.82,-9.62852733686067,Otros
Barricks Non Folding Utility Table with Steel Legs  Laminate Tops,136.46,2,15.35,11.248717572915139,Otros
Belkin 19  Center Weighted Shelf  Gray,849.31,16,-47.19,-5.556275093899754,Otros
Belkin 19  Vented Equipment Shelf  Black,1400.26,31,-179.66,-12.830474340479626,Trampa
Belkin 325VA UPS Surge Protector  6 ,1379.1799999999998,13,199.63,14.474542844298789,Otros
Belkin 5 Outlet SurgeMaster Power Centers,1776.05,40,207.02,11.656203372652797,Otros
Belkin 6 Outlet Metallic Surge Strip,262.45,29,28.740000000000002,10.950657268051058,Otros
Belkin 7 Outlet SurgeMaster Home Series,106.17999999999999,10,2.79,2.627613486532304,Otros
Belkin 7 Outlet SurgeMaster II,631.6800000000001,16,176.87,27.999936676798377,Otros
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,17.77,11.252532928064845,Otros
Belkin 8 Outlet Premiere SurgeMaster II Surge Protectors,277.92,4,83.37,29.997841105354055,Otros
Belkin 8 Outlet Surge Protector,1073.6699999999998,30,188.51999999999998,17.558467685601723,Otros
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,737.75,15,89.97,12.195188071840054,Otros
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84,8,168.44,26.00024697456162,Otros
Belkin F5C206VTEL 6 Outlet Surge,464.20000000000005,22,110.3,23.761309780267123,Otros
Belkin F8E887 USB Wired Ergonomic Keyboard,563.81,21,66.27,11.753959667263796,Otros
Belkin F9G930V10 GRY 9 Outlet Surge,770.1099999999999,16,162.59,21.112568334393792,Otros
Belkin F9H710 06 7 Outlet SurgeMaster Surge Protector,516.22,29,122.84,23.796055945139667,Otros
Belkin F9M820V08 8 Outlet Surge,558.74,15,101.0,18.076386154562048,Otros
Belkin F9S820V06 8 Outlet Surge,266.33,17,-120.16999999999999,-45.12071490256449,Otros
Belkin Grip Candy Sheer Case   Cover for iPhone 5 and 5S,64.97,8,12.99,19.993843312297983,Otros
Belkin OmniView SE Rackmount Kit,248.35999999999999,7,0.0,0.0,Otros
Belkin Premiere Surge Master II 8 outlet surge protector,952.1600000000001,26,55.390000000000015,5.817299613510336,Otros
Belkin QODE FastFit Bluetooth Keyboard,495.6,9,16.099999999999998,3.248587570621468,Otros
Belkin SportFit Armband For iPhone 5s 5c  Fuchsia,239.84,21,79.30999999999999,33.06787858572381,Otros
Belkin Standard 104 key USB Keyboard,265.53999999999996,21,5.100000000000001,1.9206145966709356,Otros
Belkin iPhone and iPad Lightning Cable,83.94,7,6.300000000000001,7.505360972122946,Otros
Berol Giant Pencil Sharpener,254.85,17,49.78,19.533058661958016,Otros
Bestar Classic Bookcase,1897.81,31,-612.93,-32.296699880388445,Trampa
